max_distance_distributions,max_distance_sketches
0.0526,0.0526
0.0887,0.0887
0.1142,0.1142
0.1424,0.1424
0.1664,0.1664
0.6826,0.6826
0.6441,0.6441
0.6007,0.6007
0.5817,0.5817
0.5518,0.5518
0.537,0.537
0.9555,0.9555
0.9307,0.9307
0.9053,0.9053
0.8817,0.8817
0.8589,0.8589
0.8314,0.8314
0.9971,0.9971
0.994,0.994
0.9872,0.9872
0.9792,0.9792
0.9714,0.9714
0.9549,0.9549
1,1
0.9997,0.9997
0.9991,0.9991
0.9977,0.9977
0.9955,0.9955
0.9929,0.9929
1,1
1,1
1,1
0.9999,0.9999
0.9998,0.9998
0.9991,0.9991
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.0469,0.0469
0.0703,0.0703
0.1023,0.1023
0.1301,0.1301
0.6463,0.6463
0.6071,0.6071
0.5617,0.5617
0.5408,0.5408
0.5109,0.5109
0.4957,0.4957
0.9315,0.9315
0.9053,0.9053
0.8769,0.8769
0.8525,0.8525
0.8264,0.8264
0.7989,0.7989
0.9939,0.9939
0.9894,0.9894
0.9812,0.9812
0.969,0.969
0.9602,0.9602
0.9405,0.9405
0.9999,0.9999
0.9992,0.9992
0.9979,0.9979
0.9961,0.9961
0.9929,0.9929
0.9882,0.9882
1,1
1,1
1,1
0.9998,0.9998
0.9994,0.9994
0.9982,0.9982
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0.0346,0.0346
0.068,0.068
0.0877,0.0877
0.6009,0.6009
0.5614,0.5614
0.5151,0.5151
0.4961,0.4961
0.4651,0.4651
0.4502,0.4502
0.9042,0.9042
0.8731,0.8731
0.8431,0.8431
0.8158,0.8158
0.7893,0.7893
0.7613,0.7613
0.9893,0.9893
0.9819,0.9819
0.969,0.969
0.9545,0.9545
0.9441,0.9441
0.9207,0.9207
0.9993,0.9993
0.9981,0.9981
0.9966,0.9966
0.9945,0.9945
0.9901,0.9901
0.9828,0.9828
1,1
1,1
0.9999,0.9999
0.9995,0.9995
0.9985,0.9985
0.9972,0.9972
1,1
1,1
1,1
1,1
0.9999,0.9999
0.9998,0.9998
1,1
1,1
1,1.0002
1,1
1,1
1,1
0.0367,0.0367
0.0626,0.0626
0.5839,0.5839
0.5431,0.5431
0.4976,0.4976
0.4745,0.4745
0.4439,0.4439
0.4285,0.4285
0.8825,0.8825
0.8506,0.8506
0.8212,0.8212
0.7931,0.7931
0.7661,0.7661
0.7388,0.7388
0.9815,0.9815
0.9722,0.9722
0.9579,0.9579
0.9388,0.9388
0.9277,0.9277
0.9032,0.9032
0.9978,0.9978
0.9957,0.9957
0.9924,0.9924
0.9886,0.9886
0.983,0.983
0.9754,0.9754
1,1
0.9998,0.9998
0.9988,0.9988
0.9977,0.9977
0.9967,0.9967
0.9944,0.9944
1,1
1,1
1,1
0.9999,0.9999
0.9994,0.9994
0.9991,0.9991
1,1
1,1
1,1
1,1
1,1
1,1
0.0302,0.0302
0.5615,0.5615
0.5213,0.5213
0.4756,0.4756
0.4499,0.4499
0.4172,0.4172
0.3998,0.3998
0.8564,0.8564
0.8224,0.8224
0.7918,0.7918
0.7639,0.7639
0.7363,0.7363
0.7101,0.7101
0.9695,0.9695
0.9592,0.9592
0.9426,0.9426
0.922,0.922
0.91,0.91
0.8847,0.8847
0.9969,0.9969
0.9934,0.9934
0.9882,0.9882
0.9823,0.9823
0.9753,0.9753
0.9637,0.9637
0.9997,0.9997
0.9993,0.9993
0.9979,0.9979
0.9966,0.998
0.9951,0.9951
0.9921,0.9921
0.9999,0.9999
0.9999,0.9999
0.9999,0.9999
0.9995,0.9995
0.9989,0.9989
0.9985,0.9985
1,1
1,1
0.9999,0.9999
0.9999,1.0003
0.9999,0.9999
0.9998,0.9998
0.5432,0.5432
0.5044,0.5044
0.4581,0.4581
0.4311,0.4311
0.3954,0.3954
0.3765,0.3765
0.8302,0.8302
0.7959,0.7959
0.7645,0.7645
0.7358,0.7358
0.708,0.708
0.6813,0.6813
0.9581,0.9581
0.9443,0.9443
0.9264,0.9264
0.9031,0.9031
0.8866,0.8866
0.8609,0.8609
0.9933,0.9933
0.9888,0.9888
0.9828,0.9828
0.9753,0.9753
0.9678,0.9678
0.9539,0.9539
0.9994,0.9994
0.9987,0.9987
0.9962,0.9962
0.9942,0.9942
0.9919,0.9919
