max_distance_distributions,max_distance_sketches
0.0526,0.0524
0.0887,0.0895
0.1142,0.1145
0.1424,0.1436
0.1664,0.168
0.6826,0.6826
0.6441,0.644
0.6007,0.6002
0.5817,0.5821
0.5518,0.5532
0.537,0.5379
0.9555,0.9569
0.9307,0.9323
0.9053,0.9081
0.8817,0.8833
0.8589,0.8613
0.8314,0.8317
0.9971,0.9974
0.994,0.9963
0.9872,0.9886
0.9792,0.982
0.9714,0.975
0.9549,0.956
1,0.9956
0.9997,0.9956
0.9991,0.9968
0.9977,0.9968
0.9955,0.9965
0.9929,0.9925
1,0.9956
1,0.9957
1,0.9957
0.9999,0.9958
0.9998,0.9956
0.9991,0.9974
1,0.9961
1,0.9965
1,0.9967
1,0.996
1,0.9964
1,0.9964
1,0.9956
1,0.996
1,0.9963
1,0.9959
1,0.9957
1,0.9965
0.0469,0.0484
0.0703,0.0732
0.1023,0.1029
0.1301,0.1315
0.6463,0.6461
0.6071,0.6067
0.5617,0.561
0.5408,0.5414
0.5109,0.5121
0.4957,0.4965
0.9315,0.9334
0.9053,0.9061
0.8769,0.8788
0.8525,0.8557
0.8264,0.8293
0.7989,0.8002
0.9939,0.9951
0.9894,0.9906
0.9812,0.9835
0.969,0.972
0.9602,0.9629
0.9405,0.9412
0.9999,0.9958
0.9992,0.9958
0.9979,0.997
0.9961,0.997
0.9929,0.9942
0.9882,0.9898
1,0.9958
1,0.9959
1,0.9959
0.9998,0.996
0.9994,0.9958
0.9982,0.9976
1,0.9963
1,0.9967
1,0.9969
1,0.9962
1,0.9966
1,0.9966
1,0.9958
1,0.9962
1,0.9965
1,0.9961
1,0.9959
1,0.9967
0.0346,0.036
0.068,0.0695
0.0877,0.0903
0.6009,0.6013
0.5614,0.561
0.5151,0.5156
0.4961,0.4963
0.4651,0.465
0.4502,0.4509
0.9042,0.9065
0.8731,0.8748
0.8431,0.8448
0.8158,0.8178
0.7893,0.7891
0.7613,0.7629
0.9893,0.991
0.9819,0.984
0.969,0.9709
0.9545,0.9557
0.9441,0.9465
0.9207,0.9228
0.9993,0.9959
0.9981,0.9959
0.9966,0.9971
