max_distance_distributions,max_distance_sketches
0.0526,0.0519
0.0887,0.0871
0.1142,0.1136
0.1424,0.1427
0.1664,0.1691
0.6826,0.6824
0.6441,0.6458
0.6007,0.5995
0.5817,0.582
0.5518,0.5528
0.537,0.5366
0.9555,0.956
0.9307,0.9299
0.9053,0.9067
0.8817,0.8821
0.8589,0.8592
0.8314,0.8344
0.9971,0.998
0.994,0.9948
0.9872,0.989
0.9792,0.9798
0.9714,0.9714
0.9549,0.9559
1,0.9989
0.9997,1.0001
0.9991,0.998
0.9977,0.9985
0.9955,0.9966
0.9929,0.993
1,1.0001
1,0.9985
1,1.0005
0.9999,1.0007
0.9998,0.9999
0.9991,1.0005
1,0.9987
1,1.0007
1,0.9987
1,0.9987
1,1.0003
1,0.9983
1,1.0005
1,1.0001
1,1.0005
1,1.0001
1,1.0001
1,0.9999
0.0469,0.0461
0.0703,0.0711
0.1023,0.1027
0.1301,0.1319
0.6463,0.648
0.6071,0.6074
0.5617,0.5621
0.5408,0.5434
0.5109,0.512
0.4957,0.4976
0.9315,0.9333
0.9053,0.9073
0.8769,0.8771
0.8525,0.8513
0.8264,0.8269
0.7989,0.8002
0.9939,0.9957
0.9894,0.9909
0.9812,0.9815
0.969,0.9709
0.9602,0.9619
0.9405,0.9408
0.9999,1.0003
0.9992,0.9989
0.9979,0.9971
0.9961,0.9965
0.9929,0.9931
0.9882,0.9891
1,1.0001
1,1.0005
1,0.9989
0.9998,0.9987
0.9994,0.9991
0.9982,0.9987
1,0.9991
1,1.0003
1,0.9983
1,1.0001
1,1.0007
1,1.0005
1,1.0003
1,1.0003
1,1.0007
1,0.9991
1,1.0005
1,0.9989
0.0346,0.0358
0.068,0.0694
0.0877,0.0876
0.6009,0.5995
0.5614,0.5615
0.5151,0.5155
0.4961,0.4947
0.4651,0.4659
0.4502,0.4511
0.9042,0.9038
0.8731,0.8749
0.8431,0.8429
0.8158,0.8169
0.7893,0.7901
0.7613,0.7604
0.9893,0.9897
0.9819,0.9819
0.969,0.9705
0.9545,0.9529
0.9441,0.9453
0.9207,0.9208
0.9993,1.0005
0.9981,0.9999
0.9966,0.9977
0.9945,0.9944
0.9901,0.9911
0.9828,0.9837
1,1.0003
1,1.0019
0.9999,1.0005
0.9995,1.0005
0.9985,0.9985
0.9972,0.9987
1,0.9987
1,1.0017
1,1.0001
1,1.0005
0.9999,1.0003
0.9998,1.0005
1,1.0005
1,1.0009
1,0.9985
1,1.0005
1,1.0007
1,1.0007
0.0367,0.0377
0.0626,0.0642
0.5839,0.5847
0.5431,0.5435
0.4976,0.4997
0.4745,0.4748
0.4439,0.4444
0.4285,0.4282
0.8825,0.8851
0.8506,0.8507
0.8212,0.8225
0.7931,0.7918
0.7661,0.7664
0.7388,0.7389
0.9815,0.9827
0.9722,0.9738
0.9579,0.9581
0.9388,0.9383
0.9277,0.9284
0.9032,0.904
0.9978,0.9987
0.9957,0.9967
0.9924,0.9919
0.9886,0.9902
0.983,0.9839
0.9754,0.9781
1,1.0005
0.9998,1.0001
0.9988,0.9987
0.9977,0.9987
0.9967,0.9983
0.9944,0.9953
1,0.9987
1,1.0003
1,0.9991
0.9999,1.0003
0.9994,1.0007
0.9991,0.9985
1,1.0001
1,1.0003
1,0.9987
1,1.0001
1,0.9999
1,1.0009
0.0302,0.0292
0.5615,0.5606
0.5213,0.5202
0.4756,0.4762
0.4499,0.4506
0.4172,0.4153
0.3998,0.4021
0.8564,0.8556
0.8224,0.8223
0.7918,0.7921
0.7639,0.7644
0.7363,0.7359
0.7101,0.7098
0.9695,0.9705
0.9592,0.961
0.9426,0.9439
0.922,0.9235
0.91,0.911
0.8847,0.8854
0.9969,0.9983
0.9934,0.9951
0.9882,0.9909
0.9823,0.9832
0.9753,0.9761
0.9637,0.9645
0.9997,0.9983
0.9993,1.0001
0.9979,0.9987
0.9966,0.9955
0.9951,0.9963
0.9921,0.9923
0.9999,1.0007
0.9999,0.9999
0.9999,1.0005
0.9995,1.0007
0.9989,0.9997
0.9985,0.9969
1,1.0007
1,1.0005
0.9999,0.9985
0.9999,0.9985
0.9999,0.9987
0.9998,1.0001
0.5432,0.5429
0.5044,0.5038
0.4581,0.458
0.4311,0.4326
0.3954,0.3982
0.3765,0.3766
0.8302,0.8302
0.7959,0.7971
0.7645,0.7656
0.7358,0.7374
0.708,0.7087
0.6813,0.6812
0.9581,0.9599
0.9443,0.9466
0.9264,0.9275
0.9031,0.9045
0.8866,0.8858
0.8609,0.8612
0.9933,0.9939
0.9888,0.9911
0.9828,0.9821
0.9753,0.9776
0.9678,0.9691
0.9539,0.9555
0.9994,1.0007
0.9987,0.9993
0.9962,0.9971
0.9942,0.9969
0.9919,0.9923
0.9876,0.9897
1,1.0005
0.9999,1.0003
0.9997,1.0001
0.9992,0.9973
0.9984,0.9985
0.9969,0.9989
1,1.0005
1,0.9985
1,1.0005
0.9998,1.0007
0.9998,0.9991
0.9996,0.9991
0.0439,0.0442
0.0873,0.0894
0.113,0.1134
0.1528,0.1525
0.1689,0.1696
0.6834,0.6851
0.6399,0.642
0.6022,0.6031
0.5755,0.5771
0.5519,0.5535
0.5412,0.5412
0.9569,0.9581
0.9298,0.9314
0.9058,0.9072
0.8803,0.8795
0.8577,0.858
0.825,0.8254
0.9985,0.9981
0.9946,0.9951
0.9885,0.9911
0.9809,0.9822
0.9722,0.9733
0.9573,0.9569
1,1.0005
0.9999,1.0001
0.9993,1.0017
0.9981,0.9989
0.9965,0.9963
0.9933,0.9951
1,1.0007
1,1.0001
1,1.0001
1,0.9989
0.9998,0.9989
0.9995,1.0003
1,1.0001
1,0.9989
1,0.9999
1,0.9989
1,1.0005
1,1.0003
0.0485,0.0491
0.0736,0.0746
0.1156,0.1153
0.1312,0.1328
0.6405,0.6407
0.5994,0.5981
0.5617,0.5639
0.5373,0.5363
0.5131,0.5127
0.5012,0.5024
0.9328,0.9347
0.9043,0.9038
0.8762,0.8758
0.8501,0.8505
0.8271,0.8286
0.791,0.793
0.994,0.9937
0.9884,0.9879
0.9789,0.9791
0.9687,0.9696
0.9555,0.9571
0.9392,0.9391
0.9996,1.0005
0.9991,0.9989
0.9973,0.9987
0.9948,0.9971
0.9921,0.9913
0.9874,0.9875
1,1.0005
1,1.0003
1,1.0007
0.9994,0.9993
0.9987,0.9973
0.9979,0.9969
1,1.0003
1,1.0007
1,0.9989
1,1.0007
