max_distance_distributions,max_distance_sketches
0.0526,0.0522
0.0887,0.0888
0.1142,0.1143
0.1424,0.1426
0.1664,0.1664
0.6826,0.6814
0.6441,0.6434
0.6007,0.6
0.5817,0.5814
0.5518,0.5516
0.537,0.5366
0.9555,0.9547
0.9307,0.9299
0.9053,0.9041
0.8817,0.8807
0.8589,0.8578
0.8314,0.8298
0.9971,0.9967
0.994,0.9933
0.9872,0.9862
0.9792,0.9777
0.9714,0.9701
0.9549,0.9537
1,0.9991
0.9997,0.9989
0.9991,0.998
0.9977,0.9968
0.9955,0.9951
0.9929,0.9921
1,0.9995
1,0.9993
1,0.9993
0.9999,0.9991
0.9998,0.9989
0.9991,0.9982
1,0.9997
1,0.9995
1,0.9995
1,0.9995
1,0.9993
1,0.9993
1,0.9999
1,0.9999
1,0.9999
1,0.9995
1,0.9995
1,0.9995
0.0469,0.0469
0.0703,0.0702
0.1023,0.1019
0.1301,0.1302
0.6463,0.6453
0.6071,0.6065
0.5617,0.5609
0.5408,0.5404
0.5109,0.5107
0.4957,0.4951
0.9315,0.9304
0.9053,0.9045
0.8769,0.8762
0.8525,0.8515
0.8264,0.8254
0.7989,0.7976
0.9939,0.9935
0.9894,0.9882
0.9812,0.9802
0.969,0.9676
0.9602,0.9591
0.9405,0.9391
0.9999,0.9989
0.9992,0.9985
0.9979,0.9969
0.9961,0.9954
0.9929,0.992
0.9882,0.987
1,0.9995
1,0.9993
1,0.9993
0.9998,0.9991
0.9994,0.9987
0.9982,0.9975
1,0.9997
1,0.9995
1,0.9995
1,0.9995
1,0.9993
1,0.9993
1,0.9999
1,0.9999
1,0.9999
1,0.9995
1,0.9995
1,0.9995
0.0346,0.0348
0.068,0.0678
0.0877,0.0875
0.6009,0.6
0.5614,0.5606
0.5151,0.5143
0.4961,0.4955
0.4651,0.4645
0.4502,0.4495
0.9042,0.9031
0.8731,0.8723
0.8431,0.842
0.8158,0.8145
0.7893,0.788
0.7613,0.7594
0.9893,0.9885
0.9819,0.9811
0.969,0.9679
0.9545,0.9529
0.9441,0.9432
0.9207,0.9196
0.9993,0.9985
0.9981,0.9973
0.9966,0.9956
0.9945,0.9936
0.9901,0.9889
0.9828,0.9814
1,0.9996
1,0.9994
0.9999,0.999
0.9995,0.9986
0.9985,0.9977
0.9972,0.9963
1,0.9998
1,0.9996
1,0.9996
1,0.9996
0.9999,0.9991
0.9998,0.999
1,1
1,1
1,1
1,0.9996
1,0.9996
1,0.9996
0.0367,0.0366
0.0626,0.0627
0.5839,0.583
0.5431,0.5421
0.4976,0.497
0.4745,0.4739
0.4439,0.4436
0.4285,0.4281
0.8825,0.8816
0.8506,0.8498
0.8212,0.8198
0.7931,0.792
0.7661,0.765
0.7388,0.7372
0.9815,0.9807
0.9722,0.9712
0.9579,0.9571
0.9388,0.9375
0.9277,0.9269
0.9032,0.902
0.9978,0.9972
0.9957,0.995
0.9924,0.9912
0.9886,0.9878
0.983,0.982
0.9754,0.9738
1,1
0.9998,0.9998
